"","Rank","Title","Genre","Director","Actor"
"1",1,"Once Upon a Time... in Hollywood","Comedy","Quentin Tarantino","Leonardo DiCaprio"
"2",2,"Star Wars: The Rise of Skywalker","Action","J.J. Abrams","Daisy Ridley"
"3",3,"Joker","Crime","Todd Phillips","Joaquin Phoenix"
"4",4,"It Chapter Two","Horror","Andy Muschietti","Jessica Chastain"
"5",5,"Ready or Not","Comedy","Matt Bettinelli-Olpin","Samara Weaving"
"6",6,"Angel Has Fallen","Action","Ric Roman Waugh","Gerard Butler"
"7",7,"Terminator: Dark Fate","Action","Tim Miller","Mackenzie Davis"
"8",8,"Avengers: Endgame","Action","Anthony Russo","Robert Downey Jr."
"9",9,"El Camino: A Breaking Bad Movie","Drama","Vince Gilligan","Aaron Paul"
"10",10,"The King","Biography","David Michôd","Timothée Chalamet"
"11",11,"Good Boys","Adventure","Gene Stupnitsky","Jacob Tremblay"
"12",12,"Ad Astra","Adventure","James Gray","Brad Pitt"
"13",13,"John Wick: Chapter 3 - Parabellum","Action","Chad Stahelski","Keanu Reeves"
"14",14,"Aladdin","Adventure","Guy Ritchie","Will Smith"
"15",15,"Fast & Furious Presents: Hobbs & Shaw","Action","David Leitch","Dwayne Johnson"
"16",16,"Dark Phoenix","Action","Simon Kinberg","James McAvoy"
"17",17,"Lady and the Tramp","Animation","Charlie Bean","Tessa Thompson"
"18",18,"The Lion King","Animation","Jon Favreau","Donald Glover"
"19",19,"Godzilla: King of the Monsters","Action","Michael Dougherty","Kyle Chandler"
"20",20,"Hustlers","Comedy","Lorene Scafaria","Constance Wu"
"21",21,"Scary Stories to Tell in the Dark","Horror","André Øvredal","Zoe Margaret Colletti"
"22",22,"Rocketman","Biography","Dexter Fletcher","Taron Egerton"
"23",23,"Saaho","Action","Sujeeth","Prabhas"
"24",24,"The Peanut Butter Falcon","Adventure","Tyler Nilson","Shia LaBeouf"
"25",25,"Rambo: Last Blood","Action","Adrian Grunberg","Sylvester Stallone"
"26",26,"Men in Black: International","Action","F. Gary Gray","Chris Hemsworth"
"27",27,"Downton Abbey","Drama","Michael Engler","Matthew Goode"
"28",28,"Midsommar","Drama","Ari Aster","Florence Pugh"
"29",29,"Spider-Man: Far from Home","Action","Jon Watts","Tom Holland"
"30",30,"Brightburn","Horror","David Yarovesky","Elizabeth Banks"
"31",31,"Falling Inn Love","Comedy","Roger Kumble","Christina Milian"
"32",32,"Lucy in the Sky","Drama","Noah Hawley","Zazie Beetz"
"33",33,"Bombshell","Biography","Jay Roach","Margot Robbie"
"34",34,"The Aeronauts","Action","Tom Harper","Felicity Jones"
"35",35,"Gisaengchung","Comedy","Joon-ho Bong","Kang-ho Song"
"36",36,"Alita: Battle Angel","Action","Robert Rodriguez","Rosa Salazar"
"37",37,"The Fanatic","Thriller","Fred Durst","John Travolta"
"38",38,"The Laundromat","Drama","Steven Soderbergh","Meryl Streep"
"39",39,"The Irishman","Biography","Martin Scorsese","Robert De Niro"
"40",40,"The Secret Life of Pets 2","Animation","Chris Renaud","Patton Oswalt"
"41",41,"47 Meters Down: Uncaged","Adventure","Johannes Roberts","Sophie Nélisse"
"42",42,"Ma","Horror","Tate Taylor","Octavia Spencer"
"43",43,"Noelle","Comedy","Marc Lawrence","Anna Kendrick"
"44",44,"Overcomer","Drama","Alex Kendrick","Alex Kendrick"
"45",45,"Dora and the Lost City of Gold","Adventure","James Bobin","Isabela Moner"
"46",46,"Booksmart","Comedy","Olivia Wilde","Kaitlyn Dever"
"47",47,"Shazam!","Action","David F. Sandberg","Zachary Levi"
"48",48,"The Banana Splits Movie","Comedy","Danishka Esterhazy","Dani Kind"
"49",49,"The Dead Don't Die","Comedy","Jim Jarmusch","Bill Murray"
"50",50,"The Goldfinch","Drama","John Crowley","Nicole Kidman"
